impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct,write_s
serial,none,80000000,1,1,1,4669382,36.650321,0.226637,36.423684,0.000000,0.00,0.226637
serial,none,80000000,1,1,1,4669382,33.559155,0.218232,33.340923,0.000000,0.00,0.218232
serial,none,84000000,1,1,1,4889139,36.028962,0.277736,35.751226,0.000000,0.00,0.277736
serial,none,84000000,1,1,1,4889139,35.998370,0.230543,35.767827,0.000000,0.00,0.230543
serial,none,88000000,1,1,1,5107832,38.430152,0.215804,38.214347,0.000000,0.00,0.215804
serial,none,88000000,1,1,1,5107832,38.446140,0.227293,38.218847,0.000000,0.00,0.227293
serial,none,92000000,1,1,1,5326237,40.962138,0.238769,40.723370,0.000000,0.00,0.238769
serial,none,92000000,1,1,1,5326237,40.983858,0.261282,40.722576,0.000000,0.00,0.261282
serial,none,96000000,1,1,1,5544201,43.619451,0.333351,43.286101,0.000000,0.00,0.333351
serial,none,96000000,1,1,1,5544201,43.530170,0.263584,43.266587,0.000000,0.00,0.263584
serial,none,100000000,1,1,1,5761455,46.213788,0.335068,45.878719,0.000000,0.00,0.335068
serial,none,100000000,1,1,1,5761455,46.139546,0.244953,45.894593,0.000000,0.00,0.244953
serial,none,104000000,1,1,1,5978489,48.856793,0.310672,48.546121,0.000000,0.00,0.310672
serial,none,104000000,1,1,1,5978489,48.865310,0.296419,48.568890,0.000000,0.00,0.296419
serial,none,108000000,1,1,1,6194963,51.601895,0.343275,51.258620,0.000000,0.00,0.343275
serial,none,108000000,1,1,1,6194963,51.559047,0.332495,51.226552,0.000000,0.00,0.332495
serial,none,112000000,1,1,1,6411057,54.379958,0.432917,53.947042,0.000000,0.00,0.432917
serial,none,112000000,1,1,1,6411057,54.342801,0.340290,54.002511,0.000000,0.00,0.340290
serial,none,116000000,1,1,1,6626563,57.216547,0.330463,56.886084,0.000000,0.00,0.330463
serial,none,116000000,1,1,1,6626563,57.054669,0.284036,56.770632,0.000000,0.00,0.284036
serial,none,120000000,1,1,1,6841648,59.840442,0.310707,59.529735,0.000000,0.00,0.310707
serial,none,120000000,1,1,1,6841648,63.154790,0.364917,62.789873,0.000000,0.00,0.364917
serial,none,124000000,1,1,1,7056480,63.637182,0.480226,63.156956,0.000000,0.00,0.480226
serial,none,124000000,1,1,1,7056480,67.897868,0.489385,67.408483,0.000000,0.00,0.489385
serial,none,128000000,1,1,1,7271035,65.741587,0.386327,65.355260,0.000000,0.00,0.386327
serial,none,128000000,1,1,1,7271035,65.767599,0.443255,65.324344,0.000000,0.00,0.443255
serial,none,132000000,1,1,1,7485189,68.513823,0.229208,68.284615,0.000000,0.00,0.229208
serial,none,132000000,1,1,1,7485189,68.608101,0.250233,68.357867,0.000000,0.00,0.250233
serial,none,136000000,1,1,1,7698729,71.538415,0.261089,71.277326,0.000000,0.00,0.261089
serial,none,136000000,1,1,1,7698729,71.556367,0.235642,71.320725,0.000000,0.00,0.235642
serial,none,140000000,1,1,1,7912199,74.691555,0.247907,74.443648,0.000000,0.00,0.247907
serial,none,140000000,1,1,1,7912199,74.830649,0.244635,74.586015,0.000000,0.00,0.244635
serial,none,144000000,1,1,1,8125404,79.272942,0.409135,78.863807,0.000000,0.00,0.409135
serial,none,144000000,1,1,1,8125404,77.741358,0.400537,77.340822,0.000000,0.00,0.400537
serial,none,148000000,1,1,1,8338205,80.784135,0.387411,80.396724,0.000000,0.00,0.387411
serial,none,148000000,1,1,1,8338205,87.633013,0.573906,87.059107,0.000000,0.00,0.573906
serial,none,152000000,1,1,1,8550438,83.973301,0.395742,83.577559,0.000000,0.00,0.395742
serial,none,152000000,1,1,1,8550438,84.005132,0.406368,83.598764,0.000000,0.00,0.406368
serial,none,156000000,1,1,1,8762625,87.172903,0.375210,86.797694,0.000000,0.00,0.375210
serial,none,156000000,1,1,1,8762625,87.105349,0.340336,86.765013,0.000000,0.00,0.340336
serial,none,160000000,1,1,1,8974458,90.531492,0.555587,89.975905,0.000000,0.00,0.555587
serial,none,160000000,1,1,1,8974458,90.392784,0.401641,89.991143,0.000000,0.00,0.401641
mpi,cyclic,44000000,16,1,1,2661384,0.999795,0.101503,0.890673,0.007619,0.61,0.097728
