impl,scheme,n,parallelism,nodes,reps,median_s,min_s,max_s,speedup,efficiency_pct,serial_s,overhead_s,imbalance_pct,karp_flatt_e
mpi,cyclic-weak,200000000,8,1,3,21.612937,21.608068,21.615625,,,0.000045,0.012654,70.58,
mpi,cyclic-weak,317000000,16,1,3,21.304430,21.303966,21.446099,,,0.000077,0.022834,78.54,
mpi,weighted,100000000,2,1,5,23.724128,23.712361,23.728460,1.9350,96.75,0.000032,0.004650,6.39,0.0336
mpi,weighted,100000000,4,1,5,12.276027,12.272703,12.278399,3.7394,93.49,0.000040,0.006048,10.23,0.0232
mpi,weighted,100000000,8,1,5,6.359312,6.358823,6.360277,7.2186,90.23,0.000042,0.007577,13.61,0.0155
mpi,weighted,100000000,16,1,5,3.315947,3.308897,3.329929,13.8439,86.52,0.000081,0.020779,16.83,0.0104
mpi,weighted,100000000,16,2,5,3.340483,3.336322,3.356559,13.7422,85.89,0.019305,0.027686,16.75,0.0110
mpi,weighted,100000000,32,2,5,1.770067,1.759843,1.772091,25.9343,81.04,0.018395,0.038032,20.02,0.0075
openmp,dynamic,1000000,8,1,3,0.012747,0.011581,0.013789,5.3846,67.31,0.000000,0.003804,0.02,0.0694
openmp,dynamic,5000000,8,1,3,0.090978,0.084848,0.091078,7.1669,89.59,0.000000,0.008081,0.03,0.0166
openmp,dynamic,10000000,8,1,3,0.225215,0.223607,0.227619,7.6937,96.17,0.000000,0.005844,0.00,0.0057
openmp,dynamic,50000000,8,1,3,2.147764,2.145893,2.150999,7.9363,99.20,0.000000,0.004410,0.00,0.0011
openmp,dynamic,100000000,1,1,3,46.043156,46.012936,46.054835,0.9970,99.70,0.000000,0.000019,0.00,
openmp,dynamic,100000000,2,1,3,23.088923,23.065300,23.104911,1.9882,99.41,0.000000,0.000073,0.00,0.0059
openmp,dynamic,100000000,4,1,3,11.532744,11.530163,11.536815,3.9804,99.51,0.000000,0.000206,0.00,0.0016
openmp,dynamic,100000000,8,1,6,5.764092,5.757858,5.767198,7.9640,99.55,0.000000,0.001223,0.00,0.0006
openmp,dynamic,100000000,16,1,3,2.896624,2.895258,2.897774,15.8479,99.05,0.000000,0.008018,0.30,0.0006
pthreads,cyclic,1000000,8,1,3,0.017071,0.012112,0.017760,4.0207,50.26,0.000000,0.003124,3.40,0.1414
pthreads,cyclic,5000000,8,1,3,0.087741,0.083279,0.093717,7.4313,92.89,0.000000,0.000528,1.01,0.0109
pthreads,cyclic,10000000,8,1,3,0.232078,0.221693,0.236698,7.4662,93.33,0.000000,0.000700,4.08,0.0102
pthreads,cyclic,50000000,8,1,3,2.144774,2.144320,2.149724,7.9474,99.34,0.000000,0.001193,0.15,0.0009
pthreads,cyclic,100000000,1,1,3,46.015385,46.008303,46.039835,0.9976,99.76,0.000000,0.000216,0.00,
pthreads,cyclic,100000000,2,1,3,23.061893,23.057655,23.088979,1.9905,99.53,0.000000,0.002003,0.16,0.0048
pthreads,cyclic,100000000,4,1,3,11.553214,11.527872,11.568851,3.9734,99.33,0.000000,0.000935,0.10,0.0022
pthreads,cyclic,100000000,8,1,6,5.770520,5.762267,5.803768,7.9552,99.44,0.000000,0.001952,0.23,0.0008
